nombre,genero,plataforma,fecha_lanzamiento,precio
Elden Ring,RPG,PS5,2022-02-25,59.99
The Witcher 3,RPG,PC,2015-05-19,29.99
God of War Ragnarok,Accion,PS5,2022-11-09,69.99
Hollow Knight,Metroidvania,Switch,2017-02-24,14.99
Cyberpunk 2077,RPG,PC,2020-12-10,59.99
Hades,Roguelike,Switch,2020-09-17,24.99
Stardew Valley,Simulacion,PC,2016-02-26,14.99
Halo Infinite,FPS,Xbox Series X,2021-12-08,59.99
Minecraft,Sandbox,PC,2011-11-18,26.95
Among Us,Multijugador,PC,2018-06-15,4.99
Dark Souls III,RPG,PS4,2016-04-12,39.99
Sekiro,Accion,PC,2019-03-22,49.99
Forza Horizon 5,Carreras,Xbox Series X,2021-11-09,59.99
FIFA 23,Deportes,PS5,2022-09-30,69.99
Mario Kart 8,Carreras,Switch,2017-04-28,59.99
Zelda BOTW,Aventura,Switch,2017-03-03,59.99
Animal Crossing,Simulacion,Switch,2020-03-20,59.99
Doom Eternal,FPS,PC,2020-03-20,39.99
Resident Evil 4,Horror,PS5,2023-03-24,59.99
Persona 5 Royal,JRPG,PS4,2019-10-31,49.99
